;;;;;;;;;;
;Číslo;Popis;Typ;Stav;;;;;;
;128;Elektrokapalinové Puja;;funkční;;;;;;
;129;Schodišťový spínač se zdrojem;;funkční;;;;;;
;130;Stolní ATO hranaté;;funkční;;;;;;
;131;Mysteriozní Jefferson se zdrojem;;funkční;;;;;;
;132;Stopky Křižík;;funkční;;;;;;
;133;Stolní budík synchro;;funkční;;;;;;
;134;Stopky 007;;funkční;;;;;;
;135;Spínací hodiny Karel Žofka;;funkční;;;;;;
;136;Stolní s digi vteřinovkou;;funkční;;;;;;
;137;Stolní alabastr;;funkční;;;;;;
;138;Stolní s vteřinovkou;;funkční;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;Vitrína 2;;;;;;;;
;;;;;;;;;;
;Číslo;Popis;Typ;Stav;;;;;;
;139;Stolní světový čas;;funkční ;;;;;;
;140;Strojek setrvačkový Orel;;funkční;;;;;;
;141;Budík Television;;funkční;;;;;;
;142;Budík DCF s projekcí;;funkční;;;;;;
;143;Budík Slava;;funkční;;;;;;
;144;Strojek setrvačkový;;funkční;;;;;;
;145;Budík Ruhla 1;;funkční;;;;;;
;146;Budík BT Bentime;;funkční;;;;;;
;147;Budík Prim kulatý;;funkční;;;;;;
;148;Junghans Ato-Mat;;funkční;;;;;;
;149;Elchron Polná 1 ;;funkční;;;;;;
;150;Elchron Polná 2 ;;funkční;;;;;;
;151;Elchron Polná 3 ;;funkční;;;;;;
;152;Strojek podružný Elektročas 11x;;funkční;;;;;;
;153;Stolní tranzistorové ATO;;funkční;;;;;;
;154;Budík stroj;;nefunkční;;;;;;
;155;Stolní ročky Quartz;;funkční;;;;;;
;156;Hodiny Kienzle Everdate;;funkční;;;;;;
;157;Stolní lístkové - stroj;;funkční;;;;;;
;158;Budík quartz plexi;;funkční;;;;;;
;159;Stolní hodiny Orel s kalendářem;;funkční;;;;;;
;160;Budík Ruhla 2;;funkční;;;;;;
;161;Hodiny Elektronika;;nefunkční;;;;;;
;162;Hodiny synchonní hranaté;;nefunkční;;;;;;
;163;Hodiny stolní odlévaný rám;;funkční;;;;;;
;164;Hodiny synchonní skleněné;;nefunkční;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;Vitrína 3;;;;;;;;
;;;;;;;;;;
;Číslo;Popis;Typ;Stav;;;;;;
;165;Budík Renforce;;;;;;;;
;166;Digitální hodiny Farny;;funkční;;;;;;
;167;Krystalová časová základna;;nefunkční;;;;;;
;168;Amatérské hodiny OMA;;nefunkční;;;;;;
;169;DCF hodiny PIK;;funkční;;;;;;
;170;Hodiny docházkové digitální;;funkční;;;;;;
;171;Hodiny Dočekal;;funkční;;;;;;
;172;Hodiny SH 94;;;;;;;;
;173;Podružný stroj velký;;funkční;;;;;;
;174;Hodiny Exponet;;funkční;;;;;;
;175;Osciloskopické hodiny;;funkční;;;;;;
;176;Retrográdní hodiny Kavalír;;funkční;;;;;;
;177;Kmitací hodiny;;funkční;;;;;;
;178;Budík Elektronika 2;;nefunkční;;;;;;
;179;Budík černýHodiny Ferraris;;funkční;;;;;;
;180;Regulátor Term 52 ;;nefunkční;;;;;;
;181;Hodiny s digitrony;;funkční;;;;;;
;182;Časová základna UA509GP;;funkční;;;;;;
;183;Časová základna GPS 167;;funkční;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;Vitrína 4;;;;;;;;
;;;;;;;;;;
;Číslo;Popis;Typ;Stav;;;;;;
;184;Tourbillon Spilka;;funkční;;;;;;
;185;Elektronicky řízené odbíjení;;funkční;;;;;;
;186;3D hodiny velké;;funkční;;;;;;
;187;Mysteriózní hodiny velké;;funkční;;;;;;
;188;Mysteriózní hodiny malé;;funkční;;;;;;
;189;Astronomické hodiny;;funkční;;;;;;
;190;Sekvenční hodiny;;funkční;;;;;;
;191;Magické hodiny;;funkční;;;;;;
;192;Sluneční hodiny digitální;;funkční;;;;;;
;193;Římské odbíjení;;funkční;;;;;;
;194;Římské digitálky;;funkční;;;;;;
;195;Týdeník;;funkční;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;Vitrína 5;;;;;;;;
;;;;;;;;;;
;Číslo;Popis;Typ;Stav;;;;;;
;196;Stopky Pragotron;;funkční;;;;;;
;197;Podružné strojky 10x;;;;;;;;
;199;Podružné hodiny KH1;;funkční;;;;;;
;201;Podružné hodiny s vteřinovkou;;funkční;;;;;;
;203;Zdroj ZZ1;;funkční;;;;;;
;205;Hodiny EH81;;funkční;;;;;;
;206;Podružé hodiny s vteřinovkou;;funkční;;;;;;
;207;Deska hodin ESH1;;funkční;;;;;;
;;;;;;;;;;
;;;;;;;;;;
